Double Precision: Infinite Series summation of 1/n^2
Iteration	Residual	sum
   5620000	1.924770e-14	1.644933888912526
   5630000	1.917939e-14	1.644933889228221
   5640000	1.911144e-14	1.644933889543524
   5650000	1.904385e-14	1.644933889856960
   5660000	1.897661e-14	1.644933890170043
   5670000	1.890973e-14	1.644933890481268
   5680000	1.884321e-14	1.644933890792130
   5690000	1.877704e-14	1.644933891101192
   5700000	1.871121e-14	1.644933891409834
   5710000	1.864573e-14	1.644933891716780
   5720000	1.858059e-14	1.644933892023202
   5730000	1.851579e-14	1.644933892328083
   5740000	1.845133e-14	1.644933892632284
   5750000	1.838721e-14	1.644933892935150
   5760000	1.832342e-14	1.644933893237131
   5770000	1.825996e-14	1.644933893538034
   5780000	1.819684e-14	1.644933893837794
   5790000	1.813403e-14	1.644933894136785
   5800000	1.807156e-14	1.644933894434325
   5810000	1.800940e-14	1.644933894731458
   5820000	1.794757e-14	1.644933895026778
   5830000	1.788605e-14	1.644933895322097
   5840000	1.782485e-14	1.644933895615206
   5850000	1.776396e-14	1.644933895908305
   5860000	1.770339e-14	1.644933896199665
   5870000	1.764312e-14	1.644933896490544
   5880000	1.758316e-14	1.644933896780212
   5890000	1.752350e-14	1.644933897068870
   5900000	1.746415e-14	1.644933897356903
   5910000	1.740510e-14	1.644933897643341
   5920000	1.734635e-14	1.644933897929779
   5930000	1.728790e-14	1.644933898214016
   5940000	1.722974e-14	1.644933898498233
   5950000	1.717187e-14	1.644933898780953
   5960000	1.711430e-14	1.644933899062950
   5970000	1.705701e-14	1.644933899344215
   5980000	1.700001e-14	1.644933899623991
   5990000	1.694330e-14	1.644933899903767
   6000000	1.688687e-14	1.644933900181418
   6010000	1.683072e-14	1.644933900458974
   6020000	1.677485e-14	1.644933900735295
   6030000	1.671926e-14	1.644933901010631
   6040000	1.666394e-14	1.644933901285687
   6050000	1.660890e-14	1.644933901558801
   6060000	1.655413e-14	1.644933901831916
   6070000	1.649963e-14	1.644933902103552
   6080000	1.644540e-14	1.644933902374446
   6090000	1.639143e-14	1.644933902644950
   6100000	1.633774e-14	1.644933902913624
   6110000	1.628430e-14	1.644933903182298
   6120000	1.623113e-14	1.644933903449517
   6130000	1.617821e-14	1.644933903715970
   6140000	1.612556e-14	1.644933903982196
   6150000	1.607316e-14	1.644933904246429
   6160000	1.602102e-14	1.644933904510663
   6170000	1.596913e-14	1.644933904773746
   6180000	1.591749e-14	1.644933905035759
   6190000	1.586610e-14	1.644933905297772
   6200000	1.581496e-14	1.644933905557786
   6210000	1.576407e-14	1.644933905817578
   6220000	1.571342e-14	1.644933906076819
   6230000	1.566302e-14	1.644933906334391
   6240000	1.561286e-14	1.644933906591963
   6250000	1.556294e-14	1.644933906848285
   6260000	1.551325e-14	1.644933907103636
   6270000	1.546381e-14	1.644933907358987
   6280000	1.541460e-14	1.644933907612470
   6290000	1.536563e-14	1.644933907865600
   6300000	1.531688e-14	1.644933908118543
   6310000	1.526838e-14	1.644933908369453
   6320000	1.522010e-14	1.644933908620363
   6330000	1.517205e-14	1.644933908870626
   6340000	1.512422e-14	1.644933909119316
   6350000	1.507662e-14	1.644933909368006
   6360000	1.502925e-14	1.644933909615673
   6370000	1.498210e-14	1.644933909862143
   6380000	1.493517e-14	1.644933910108612
   6390000	1.488846e-14	1.644933910353769
   6400000	1.484197e-14	1.644933910598018
   6410000	1.479570e-14	1.644933910842267
   6420000	1.474964e-14	1.644933911084999
   6430000	1.470380e-14	1.644933911327028
   6440000	1.465817e-14	1.644933911569057
   6450000	1.461276e-14	1.644933911809455
   6460000	1.456755e-14	1.644933912049263
   6470000	1.452255e-14	1.644933912289071
   6480000	1.447777e-14	1.644933912527226
   6490000	1.443318e-14	1.644933912764813
   6500000	1.438881e-14	1.644933913002401
   6510000	1.434464e-14	1.644933913238406
   6520000	1.430067e-14	1.644933913473773
   6530000	1.425690e-14	1.644933913709140
   6540000	1.421334e-14	1.644933913943090
   6550000	1.416997e-14	1.644933914176237
   6560000	1.412680e-14	1.644933914409384
   6570000	1.408383e-14	1.644933914641377
   6580000	1.404106e-14	1.644933914872303
   6590000	1.399847e-14	1.644933915103229
   6600000	1.395609e-14	1.644933915333366
   6610000	1.391389e-14	1.644933915562071
   6620000	1.387189e-14	1.644933915790777
   6630000	1.383007e-14	1.644933916019159
   6640000	1.378845e-14	1.644933916245645
